시도,시군구,주소,주택유형,매입유형,전용면적(m2),임대보증금액,안심전세포털,네이버지도
인천광역시,인천 부평구,인천 부평구 부평동 118-37 광성리치빌 5층 502호,다세대주택,경매등매입형,48.13,"97,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022356323,https://map.naver.com/p/search/인천 부평구 부평동 118-37 광성리치빌 5층 502호
인천광역시,인천 서구,인천 서구 검암동 635-12 휴캐슬 나동 2층 202호,다세대주택,경매등매입형,49.59,"99,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023082990,https://map.naver.com/p/search/인천 서구 검암동 635-12 휴캐슬 나동 2층 202호
인천광역시,인천 중구,인천 중구 운서동 3087-2 솔리움센텀스카이 9층 933호,오피스텔(주거용),경매등매입형,24.232,"99,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023160526,https://map.naver.com/p/search/인천 중구 운서동 3087-2 솔리움센텀스카이 9층 933호
인천광역시,인천 동구,인천 동구 송림동 8-467 참좋은집 1동 4층 404호,오피스텔(주거용),경매등매입형,68.7,"101,700,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023120837,https://map.naver.com/p/search/인천 동구 송림동 8-467 참좋은집 1동 4층 404호
인천광역시,인천 미추홀구,인천 미추홀구 도화동 495-6 다인주택 9층 903호,오피스텔(주거용),경매등매입형,62.02,"103,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023392488,https://map.naver.com/p/search/인천 미추홀구 도화동 495-6 다인주택 9층 903호
인천광역시,인천 서구,인천 서구 당하동 1084-6 라온하우스 1동 2층 203호,다세대주택,경매등매입형,49.23,"103,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022360774,https://map.naver.com/p/search/인천 서구 당하동 1084-6 라온하우스 1동 2층 203호
인천광역시,인천 미추홀구,인천 미추홀구 숭의동 331-54 가온누리 4층 402호,다세대주택,경매등매입형,65.43,"104,400,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024209740,https://map.naver.com/p/search/인천 미추홀구 숭의동 331-54 가온누리 4층 402호
인천광역시,인천 미추홀구,인천 미추홀구 도화동 489-15 베스트하우스 4층 401호,다세대주택,경매등매입형,63.39,"105,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022226651,https://map.naver.com/p/search/인천 미추홀구 도화동 489-15 베스트하우스 4층 401호
인천광역시,인천 미추홀구,인천 미추홀구 숭의동 48-13 마이해피홈타운 3층 301호,다세대주택,경매등매입형,52.91,"105,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022352232,https://map.naver.com/p/search/인천 미추홀구 숭의동 48-13 마이해피홈타운 3층 301호
인천광역시,인천 서구,인천 서구 가정동 430-54 늘해찬 1동 1층 102호,다세대주택,경매등매입형,49.67,"105,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023060617,https://map.naver.com/p/search/인천 서구 가정동 430-54 늘해찬 1동 1층 102호
